,0
Annual return,0.22123501352930752
Cumulative returns,0.29300151048260425
Annual volatility,0.16380834552655288
Sharpe ratio,1.3058983315121415
Calmar ratio,2.764168116158171
Stability,0.8632334923488514
Max drawdown,-0.08003674314744467
Omega ratio,1.2416930972431819
Sortino ratio,2.001114869919301
Skew,
Kurtosis,
Tail ratio,1.0933976048561462
Daily value at risk,-0.019789034500680536
