,0
Annual return,0.18501543387337693
Cumulative returns,0.34048413472700334
Annual volatility,0.17899031227297196
Sharpe ratio,1.0402535154810508
Calmar ratio,0.9632370680483625
Stability,0.7517764025168985
Max drawdown,-0.19207673791898508
Omega ratio,1.1967665627871922
Sortino ratio,1.5200799371469045
Skew,
Kurtosis,
Tail ratio,1.0532411384180025
Daily value at risk,-0.02181178943964247
