date,action,tic,num_of_shares,price,total_num_shares,balance
2022-06-13,buy,BHARTIARTL.NS,5,671.3,34,10475786.09
2022-06-13,buy,TATASTEEL.NS,5,991.95,44,10470821.38
2022-06-13,buy,BAJAJ-AUTO.NS,5,3881.25,47,10451395.72
2022-06-13,buy,SUNPHARMA.NS,5,829.5,43,10447244.07
2022-06-13,buy,BAJAJFINSV.NS,5,11386.05,46,10390256.89
2022-06-13,buy,TECHM.NS,5,1051.95,42,10384991.88
2022-06-13,buy,TATACONSUM.NS,5,735.95,49,10381308.45
2022-06-13,buy,ICICIBANK.NS,5,688.0,39,10377865.01
2022-06-14,sell,ASIANPAINT.NS,0,2635.4,0,10237981.7
2022-06-14,sell,ULTRACEMCO.NS,0,5428.6,0,10237981.7
2022-06-14,sell,TITAN.NS,0,2102.0,0,10237981.7
2022-06-14,sell,TCS.NS,0,3210.55,0,10237981.7
2022-06-14,sell,TATAMOTORS.NS,1,405.15,0,10238386.45
2022-06-14,sell,SHREECEM.NS,0,19208.85,0,10238386.45
2022-06-14,sell,ONGC.NS,0,155.95,0,10238386.45
2022-06-14,sell,NESTLEIND.NS,0,16871.45,0,10238386.45
2022-06-14,sell,LUPIN.NS,0,609.35,0,10238386.45
2022-06-14,sell,KOTAKBANK.NS,0,1739.7,0,10238386.45
2022-06-14,sell,ITC.NS,4,265.45,0,10239447.19
2022-06-14,sell,IOC.NS,0,110.25,0,10239447.19
2022-06-14,sell,INFY.NS,0,1440.55,0,10239447.19
2022-06-14,sell,INDUSINDBK.NS,0,844.2,0,10239447.19
2022-06-14,sell,HINDUNILVR.NS,2,2171.0,0,10243784.85
2022-06-14,sell,JSWSTEEL.NS,0,561.9,0,10243784.85
2022-06-14,sell,HEROMOTOCO.NS,0,2557.6,0,10243784.85
2022-06-14,sell,HDFCBANK.NS,0,1312.0,0,10243784.85
2022-06-14,sell,HDFC.NS,0,2109.5,0,10243784.85
2022-06-14,sell,HCLTECH.NS,0,996.9,0,10243784.85
2022-06-14,sell,AXISBANK.NS,1,650.75,0,10244434.95
2022-06-14,sell,GRASIM.NS,0,1309.35,0,10244434.95
2022-06-14,sell,HINDALCO.NS,0,358.3,0,10244434.95
2022-06-14,sell,BAJFINANCE.NS,0,5375.75,0,10244434.95
2022-06-14,sell,DRREDDY.NS,0,4311.05,0,10244434.95
2022-06-14,buy,WIPRO.NS,5,445.9,51,10242203.22
2022-06-14,buy,SBIN.NS,5,448.1,42,10239960.48
2022-06-14,buy,UPL.NS,5,715.7,47,10236378.4
2022-06-14,buy,LT.NS,5,1544.65,55,10228647.42
2022-06-14,buy,EICHERMOT.NS,5,2722.75,51,10215020.06
2022-06-14,buy,M&M.NS,5,1019.25,54,10209918.71
2022-06-14,buy,MARUTI.NS,5,7811.65,57,10170821.41
2022-06-14,buy,NTPC.NS,5,151.4,50,10170063.65
2022-06-14,buy,POWERGRID.NS,5,223.95,53,10168942.78
2022-06-14,buy,RELIANCE.NS,5,2628.1,49,10155789.14
2022-06-14,buy,CIPLA.NS,5,964.7,59,10150960.81
2022-06-14,buy,BHARTIARTL.NS,5,682.05,44,10147547.15
2022-06-14,buy,TATASTEEL.NS,5,996.15,54,10142561.42
2022-06-14,buy,BAJAJ-AUTO.NS,5,3681.75,57,10124134.26
2022-06-14,buy,SUNPHARMA.NS,5,825.05,53,10120004.89
2022-06-14,buy,BAJAJFINSV.NS,5,11336.5,56,10063265.71
2022-06-14,buy,TECHM.NS,5,1030.15,52,10058109.81
2022-06-14,buy,TATACONSUM.NS,5,735.85,59,10054426.88
2022-06-14,buy,ICICIBANK.NS,5,685.5,49,10050995.95
2022-06-17,sell,ASIANPAINT.NS,0,2580.2,0,9859607.0
2022-06-17,sell,ULTRACEMCO.NS,0,5177.3,0,9859607.0
2022-06-17,sell,TITAN.NS,0,1936.45,0,9859607.0
2022-06-17,sell,TCS.NS,0,3088.9,0,9859607.0
2022-06-17,sell,TATAMOTORS.NS,0,388.95,0,9859607.0
2022-06-17,sell,SHREECEM.NS,0,18045.75,0,9859607.0
2022-06-17,sell,ONGC.NS,0,141.45,0,9859607.0
2022-06-17,sell,NESTLEIND.NS,0,16642.4,0,9859607.0
2022-06-17,sell,LUPIN.NS,0,597.6,0,9859607.0
2022-06-17,sell,KOTAKBANK.NS,0,1673.6,0,9859607.0
2022-06-17,sell,ITC.NS,0,263.3,0,9859607.0
2022-06-17,sell,IOC.NS,0,104.2,0,9859607.0
