,tic,time_period_in_months,model,total return,idle return
91,TATASTEEL.NS,3,a2c,131616.54,138768.75
92,TATASTEEL.NS,6,a2c,307295.74,336569.8
93,TATASTEEL.NS,12,a2c,566139.34,619913.0
94,TATASTEEL.NS,18,a2c,547865.74,599909.8
95,TATASTEEL.NS,24,a2c,650630.44,712401.2
96,TECHM.NS,1,a2c,115131.12999999999,84524.59999999999
97,TECHM.NS,3,a2c,287069.43,307260.0
98,TECHM.NS,6,a2c,477011.56,567312.9
99,TECHM.NS,12,a2c,548781.16,652610.5
100,TECHM.NS,18,a2c,848308.36,1008596.2
101,TECHM.NS,24,a2c,677326.36,805385.45
102,UPL.NS,1,a2c,79801.61,52596.5
103,UPL.NS,3,a2c,183281.29,167654.0
104,UPL.NS,6,a2c,229658.63999999998,218085.4
105,UPL.NS,12,a2c,407995.89,387277.14999999997
106,UPL.NS,18,a2c,382443.09,363034.75
107,UPL.NS,24,a2c,407995.89,387277.14999999997
108,WIPRO.NS,1,a2c,151626.16,35399.7
109,WIPRO.NS,3,a2c,179194.78999999998,123042.5
110,WIPRO.NS,6,a2c,3033006.06,232420.3
111,WIPRO.NS,12,a2c,6439346.17,332332.5
112,WIPRO.NS,18,a2c,8294184.79,421591.85
113,WIPRO.NS,24,a2c,8604073.85,326930.2
114,ASIANPAINT.NS,1,sac,197109.29,174981.0
115,ASIANPAINT.NS,3,sac,191833.07,219514.4
116,ASIANPAINT.NS,6,sac,771239.5299999999,282346.39999999997
117,ASIANPAINT.NS,12,sac,771239.5299999999,282346.39999999997
118,ASIANPAINT.NS,18,sac,771239.5299999999,282346.39999999997
119,ASIANPAINT.NS,24,sac,771239.5299999999,282346.39999999997
120,AXISBANK.NS,1,sac,13794.3,13812.8
121,AXISBANK.NS,3,sac,-432110.8299999999,29132.8
122,AXISBANK.NS,6,sac,-432110.8299999999,29132.8
123,AXISBANK.NS,12,sac,-432110.8299999999,29132.8
124,AXISBANK.NS,18,sac,-433021.23,43443.2
125,AXISBANK.NS,24,sac,-433021.23,51126.4
126,BAJAJ-AUTO.NS,1,sac,183046.34,192316.8
127,BAJAJ-AUTO.NS,3,sac,255971.68,273173.55
128,BAJAJ-AUTO.NS,6,sac,255971.68,273173.55
129,BAJAJ-AUTO.NS,12,sac,255971.68,273173.55
130,BAJAJ-AUTO.NS,18,sac,255971.68,273173.55
131,BAJAJ-AUTO.NS,24,sac,255971.68,273173.55
132,BAJAJFINSV.NS,1,sac,737855.21,645413.6
133,BAJAJFINSV.NS,3,sac,1103746.0899999999,1022545.7999999999
134,BAJAJFINSV.NS,6,sac,1734935.8699999999,1610113.95
135,BAJAJFINSV.NS,12,sac,2408805.0200000005,2235101.4
136,BAJAJFINSV.NS,18,sac,3135837.63,2942921.8
137,BAJAJFINSV.NS,24,sac,3069363.53,2880559.5
138,BAJFINANCE.NS,3,sac,227052.8,266874.75
139,BAJFINANCE.NS,6,sac,369197.78,437144.4
140,BAJFINANCE.NS,12,sac,431088.48,510367.2
141,BAJFINANCE.NS,18,sac,539237.31,705610.5
142,BAJFINANCE.NS,24,sac,566045.91,740667.9
143,CIPLA.NS,1,sac,87789.42,72015.0
144,CIPLA.NS,3,sac,136349.00999999998,128074.8
145,CIPLA.NS,6,sac,170049.34,166030.0
146,CIPLA.NS,12,sac,223805.38,228746.9
147,CIPLA.NS,18,sac,245443.18,265647.0
148,CIPLA.NS,24,sac,287598.84,316577.8
149,DRREDDY.NS,1,sac,618975.47,470189.2
150,DRREDDY.NS,3,sac,1082181.94,976166.3999999999
151,DRREDDY.NS,6,sac,1154004.01,1055965.4000000001
152,DRREDDY.NS,12,sac,1183173.9000000001,1083097.2
153,DRREDDY.NS,18,sac,1111801.62,1037550.8
154,DRREDDY.NS,24,sac,1014667.1699999999,946973.95
155,EICHERMOT.NS,1,sac,303196.20999999996,210514.74
156,EICHERMOT.NS,3,sac,395466.28,309988.5
157,EICHERMOT.NS,6,sac,269840.43,343581.75
158,EICHERMOT.NS,12,sac,414673.9199999998,383632.80000000005
159,EICHERMOT.NS,18,sac,121526.20000000001,385381.19999999995
160,EICHERMOT.NS,24,sac,113326.60000000006,357914.4
161,GRASIM.NS,1,sac,31594.869999999995,30386.399999999998
162,GRASIM.NS,3,sac,1313.31,55470.799999999996
163,GRASIM.NS,6,sac,1313.31,55470.799999999996
164,GRASIM.NS,12,sac,1313.31,55470.799999999996
165,GRASIM.NS,18,sac,1313.31,55470.799999999996
166,GRASIM.NS,24,sac,1313.31,55470.799999999996
167,HCLTECH.NS,1,sac,1260.4099999999999,2600.6
168,HCLTECH.NS,3,sac,59237.74,82087.75
169,HCLTECH.NS,6,sac,106799.80999999998,153018.8
170,HCLTECH.NS,12,sac,123323.27999999998,180212.65
171,HCLTECH.NS,18,sac,-793751.0899999997,209799.44999999998
172,HCLTECH.NS,24,sac,-794861.1399999999,225306.9
173,HDFC.NS,1,sac,251066.16,181758.9
174,HDFC.NS,3,sac,301254.19999999995,234694.69999999998
175,HDFC.NS,6,sac,440552.05,344226.55
176,HDFC.NS,12,sac,446381.55,348778.8
177,HDFC.NS,18,sac,348623.92,357389.85000000003
178,HDFC.NS,24,sac,282479.51,314626.5
179,HDFCBANK.NS,1,sac,106116.93000000002,60935.2
180,HDFCBANK.NS,3,sac,74144.20000000004,62932.350000000006
181,HDFCBANK.NS,6,sac,74144.20000000004,62932.350000000006
182,HDFCBANK.NS,12,sac,74144.20000000004,62932.350000000006
183,HDFCBANK.NS,18,sac,74144.20000000004,62932.350000000006
184,HDFCBANK.NS,24,sac,74144.20000000004,62932.350000000006
185,HEROMOTOCO.NS,1,sac,310184.93,302444.5
186,HEROMOTOCO.NS,3,sac,313780.04,476242.5
187,HEROMOTOCO.NS,6,sac,584163.27,462390.0
188,HEROMOTOCO.NS,12,sac,344891.43999999994,440880.0
189,HEROMOTOCO.NS,18,sac,473946.44,502466.99999999994
190,HEROMOTOCO.NS,24,sac,468604.51999999996,479934.0
191,HINDALCO.NS,1,sac,25590.530000000002,17777.899999999998
192,HINDALCO.NS,3,sac,5943.089999999976,23108.4
193,HINDALCO.NS,6,sac,196202.38,23553.800000000003
194,HINDALCO.NS,12,sac,196202.38,23553.800000000003
195,HINDALCO.NS,18,sac,195483.18,60698.850000000006
196,HINDALCO.NS,24,sac,195483.17999999996,62270.850000000006
197,HINDUNILVR.NS,1,sac,46540.04,11590.0
198,HINDUNILVR.NS,3,sac,50453.01,16632.4
199,HINDUNILVR.NS,6,sac,44211.6,19111.2
200,HINDUNILVR.NS,12,sac,44211.6,19696.0
201,HINDUNILVR.NS,18,sac,130170.96000000002,109084.65
202,HINDUNILVR.NS,24,sac,-101829.70999999999,102349.55
203,ICICIBANK.NS,3,sac,6766.82,6426.900000000001
204,ICICIBANK.NS,6,sac,280674.46,9505.7
205,ICICIBANK.NS,12,sac,280174.16,11472.199999999999
206,ICICIBANK.NS,18,sac,280174.16,11472.199999999999
